DATA;VALUTA;BRANCHE;TID;INDHOLD
ULT;DKK;HZZ;2014M07;12632.9
ULT;DKK;HZZ;2014M08;12920.6
ULT;DKK;HZZ;2014M09;13337.1
ULT;DKK;HZZ;2014M10;12603.7
ULT;DKK;HZZ;2014M11;13086.8
ULT;DKK;HZZ;2014M12;12102.4
ULT;DKK;HZZ;2015M01;12154.5
ULT;DKK;HZZ;2015M02;11911.8
ULT;DKK;HZZ;2015M03;11657.1
ULT;DKK;HZZ;2015M04;13276.0
ULT;DKK;HZZ;2015M05;12686.8
ULT;DKK;HZZ;2015M06;12294.3
ULT;DKK;HZZ;2015M07;11534.0
ULT;DKK;HZZ;2015M08;11045.5
ULT;DKK;HZZ;2015M09;10352.4
ULT;DKK;HZZ;2015M10;9987.2
ULT;DKK;HZZ;2015M11;10740.2
ULT;DKK;HZZ;2015M12;10985.4
ULT;DKK;HZZ;2016M01;10847.1
ULT;DKK;HZZ;2016M02;10758.0
ULT;DKK;HZZ;2016M03;10881.0
ULT;DKK;HZZ;2016M04;11519.9
ULT;DKK;HZZ;2016M05;11407.0
ULT;DKK;HZZ;2016M06;11657.5
ULT;DKK;HZZ;2016M07;11824.7
ULT;DKK;HZZ;2016M08;12055.0
ULT;DKK;HZZ;2016M09;12499.8
ULT;DKK;HZZ;2016M10;12158.1
ULT;DKK;HZZ;2016M11;12085.7
ULT;DKK;HZZ;2016M12;11974.2
ULT;DKK;HZZ;2017M01;11772.1
ULT;DKK;IZZ;2013M09;..
ULT;DKK;IZZ;2013M10;6826.1
ULT;DKK;IZZ;2013M11;6954.4
ULT;DKK;IZZ;2013M12;6946.1
ULT;DKK;IZZ;2014M01;7006.6
ULT;DKK;IZZ;2014M02;7073.5
ULT;DKK;IZZ;2014M03;7216.5
ULT;DKK;IZZ;2014M04;7137.1
ULT;DKK;IZZ;2014M05;6944.6
ULT;DKK;IZZ;2014M06;7119.3
ULT;DKK;IZZ;2014M07;6449.6
ULT;DKK;IZZ;2014M08;6445.9
ULT;DKK;IZZ;2014M09;6449.6
ULT;DKK;IZZ;2014M10;6438.8
ULT;DKK;IZZ;2014M11;6431.6
ULT;DKK;IZZ;2014M12;6552.6
ULT;DKK;IZZ;2015M01;7178.5
ULT;DKK;IZZ;2015M02;7258.5
ULT;DKK;IZZ;2015M03;7456.1
ULT;DKK;IZZ;2015M04;7246.7
ULT;DKK;IZZ;2015M05;7594.4
ULT;DKK;IZZ;2015M06;7560.3
ULT;DKK;IZZ;2015M07;7086.7
ULT;DKK;IZZ;2015M08;7109.5
ULT;DKK;IZZ;2015M09;7096.4
ULT;DKK;IZZ;2015M10;7070.1
ULT;DKK;IZZ;2015M11;6941.9
ULT;DKK;IZZ;2015M12;6903.6
ULT;DKK;IZZ;2016M01;6957.8
ULT;DKK;IZZ;2016M02;6961.4
ULT;DKK;IZZ;2016M03;7111.0
ULT;DKK;IZZ;2016M04;7068.8
ULT;DKK;IZZ;2016M05;6859.4
ULT;DKK;IZZ;2016M06;6929.7
ULT;DKK;IZZ;2016M07;6693.8
ULT;DKK;IZZ;2016M08;6674.4
ULT;DKK;IZZ;2016M09;6342.7
ULT;DKK;IZZ;2016M10;6320.8
ULT;DKK;IZZ;2016M11;6435.5
ULT;DKK;IZZ;2016M12;7034.9
ULT;DKK;IZZ;2017M01;7236.3
ULT;DKK;JZZ;2013M09;..
ULT;DKK;JZZ;2013M10;6444.6
ULT;DKK;JZZ;2013M11;7282.5
ULT;DKK;JZZ;2013M12;6824.3
ULT;DKK;JZZ;2014M01;6410.0
ULT;DKK;JZZ;2014M02;6370.0
ULT;DKK;JZZ;2014M03;7005.2
ULT;DKK;JZZ;2014M04;7544.1
ULT;DKK;JZZ;2014M05;6553.9
ULT;DKK;JZZ;2014M06;6316.6
ULT;DKK;JZZ;2014M07;6026.0
ULT;DKK;JZZ;2014M08;6148.9
ULT;DKK;JZZ;2014M09;6185.8
ULT;DKK;JZZ;2014M10;5829.5
ULT;DKK;JZZ;2014M11;6301.8
ULT;DKK;JZZ;2014M12;6000.2
ULT;DKK;JZZ;2015M01;5735.4
ULT;DKK;JZZ;2015M02;5960.4
ULT;DKK;JZZ;2015M03;6686.8
ULT;DKK;JZZ;2015M04;7066.2
ULT;DKK;JZZ;2015M05;6704.8
ULT;DKK;JZZ;2015M06;6779.4
ULT;DKK;JZZ;2015M07;6178.7
ULT;DKK;JZZ;2015M08;7103.2
ULT;DKK;JZZ;2015M09;6809.0
ULT;DKK;JZZ;2015M10;6511.2
ULT;DKK;JZZ;2015M11;6536.0
ULT;DKK;JZZ;2015M12;6674.6
ULT;DKK;JZZ;2016M01;6119.2
ULT;DKK;JZZ;2016M02;5701.0
ULT;DKK;JZZ;2016M03;5871.5
ULT;DKK;JZZ;2016M04;6195.3
ULT;DKK;JZZ;2016M05;5796.0
ULT;DKK;JZZ;2016M06;6068.9
ULT;DKK;JZZ;2016M07;5665.1
ULT;DKK;JZZ;2016M08;5752.3
ULT;DKK;JZZ;2016M09;5958.3
ULT;DKK;JZZ;2016M10;6311.0
ULT;DKK;JZZ;2016M11;6354.8
ULT;DKK;JZZ;2016M12;6380.9
ULT;DKK;JZZ;2017M01;6110.8
ULT;DKK;KZZ;2013M09;..
ULT;DKK;KZZ;2013M10;374953.8
